날짜,스트레스,건강,습관
2024-12-05,37.35511,25.86933,10.69546
2024-12-06,35.45837,27.29188,9.3256
2024-12-07,30.24236,18.01896,8.74604
2024-12-08,31.92834,22.28661,10.27397
2024-12-09,42.99262,29.55742,11.53846
2024-12-10,36.51211,29.08324,11.48577
2024-12-11,38.61959,29.82086,12.38145
2024-12-12,38.35616,28.18756,12.53951
2024-12-13,36.35405,28.13487,11.06427
2024-12-14,32.34984,19.0727,9.43097
2024-12-15,32.34984,20.96944,10.32665
2024-12-16,37.30242,32.71865,9.37829
2024-12-17,41.78082,31.61222,10.64278
2024-12-18,37.51317,29.08324,10.48472
2024-12-19,39.19915,33.19283,10.9589
2024-12-20,37.46048,30.4531,9.64172
2024-12-21,31.08535,20.54794,7.53424
2024-12-22,31.34878,21.44362,9.90516
2024-12-23,36.61749,28.18756,10.85353
2024-12-24,32.03371,27.92413,9.37829
2024-12-25,27.81875,23.02423,9.48366
2024-12-26,30.13698,31.61222,10.22128
2024-12-27,33.08746,29.50474,10.43203
2024-12-28,30.8746,22.23393,10.01053
2024-12-29,29.08324,23.18229,9.85247
2024-12-30,31.61222,37.46048,10.27397
2024-12-31,31.08535,70.12644,10.74815
2025-01-01,32.56059,100.0,11.27502
2025-01-02,32.92939,49.52581,15.38461
2025-01-03,34.08851,33.24552,10.22128
2025-01-04,30.18967,24.60484,12.11801
2025-01-05,32.40252,24.28872,10.90621
2025-01-06,32.56059,36.03793,11.59114
2025-01-07,33.45626,34.51001,11.32771
2025-01-08,37.61854,30.92729,12.38145
2025-01-09,33.66701,28.451,12.85563
2025-01-10,31.50684,28.39831,10.80084
2025-01-11,27.76606,25.02634,9.06217
2025-01-12,32.40252,24.34141,10.01053
2025-01-13,34.29926,31.34878,11.22233
2025-01-14,39.30453,33.45626,10.69546
2025-01-15,36.09062,27.608,11.27502
2025-01-16,38.04004,30.03161,12.5922
2025-01-17,35.82718,27.608,11.11696
2025-01-18,31.2961,19.70495,10.01053
2025-01-19,31.2961,21.54899,10.06322
2025-01-20,39.35721,29.39936,10.32665
2025-01-21,34.9315,29.34668,12.27608
2025-01-22,38.14541,29.87355,9.53635
2025-01-23,37.67123,51.2118,12.96101
2025-01-24,36.09062,30.03161,9.37829
2025-01-25,29.71548,25.07903,10.06322
2025-01-26,34.40463,23.34035,10.06322
2025-01-27,34.08851,29.03055,7.85036
2025-01-28,28.08219,37.61854,8.42992
2025-01-29,26.60695,41.57007,7.32349
2025-01-30,29.50474,23.02423,9.27291
2025-01-31,30.82191,30.50579,10.80084
2025-02-01,29.2413,22.86617,10.5374
2025-02-02,33.61433,27.44994,10.69546
2025-02-03,33.2982,35.82718,12.80295
2025-02-04,35.56375,33.03477,11.80189
2025-02-05,35.56375,29.45205,11.48577
2025-02-06,37.09167,26.97576,11.48577
2025-02-07,33.45626,28.39831,11.95995
2025-02-08,31.03266,22.86617,8.58798
2025-02-09,32.03371,19.81032,11.27502
2025-02-10,36.24868,32.03371,12.75026
2025-02-11,35.82718,32.5079,11.22233
2025-02-12,40.6217,27.87144,10.64278
2025-02-13,41.0432,30.76923,11.69652
2025-02-14,41.88619,26.97576,10.74815
2025-02-15,34.77344,25.50052,9.3256
2025-02-16,37.72391,22.81348,19.96838
2025-02-17,40.35827,26.55426,12.38145
2025-02-18,39.46259,30.13698,13.11907
2025-02-19,41.72813,28.24025,12.32876
2025-02-20,43.51949,26.55426,10.43203
2025-02-21,39.19915,24.28872,11.7492
2025-02-22,35.30031,21.33825,11.90727
2025-02-23,35.14225,19.59957,14.06743
2025-02-24,40.67439,30.76923,14.43624
2025-02-25,42.04425,27.608,13.59325
2025-02-26,43.67755,27.66069,15.06849
2025-02-27,42.20231,26.71232,13.06638
2025-02-28,36.67017,26.71232,11.3804
2025-03-01,32.87671,19.23076,10.85353
2025-03-02,33.24552,20.81138,13.06638
2025-03-03,36.40674,20.81138,18.96733
2025-03-04,41.57007,34.40463,38.25079
2025-03-05,39.77871,37.7766,26.87038
2025-03-06,41.88619,36.9863,17.80821
2025-03-07,40.25289,29.08324,13.22444
2025-03-08,34.87881,21.07481,11.85458
2025-03-09,37.14436,22.28661,14.85774
2025-03-10,40.14752,38.51422,14.80505
2025-03-11,38.93572,35.98524,15.33192
2025-03-12,44.57323,34.35194,12.96101
2025-03-13,44.57323,36.1433,13.17175
2025-03-14,40.93782,27.66069,11.27502
2025-03-15,35.77449,21.07481,10.69546
2025-03-16,38.51422,22.55005,13.64594
2025-03-17,44.25711,32.45521,15.06849
2025-03-18,44.99473,38.35616,14.54162
2025-03-19,44.09905,31.87565,14.80505
2025-03-20,44.62592,32.77133,15.27924
2025-03-21,42.99262,33.24552,12.69757
2025-03-22,36.1433,25.55321,10.74815
2025-03-23,35.03688,24.97365,13.54056
2025-03-24,42.09694,35.30031,15.70073
2025-03-25,44.88935,31.40147,13.85669
2025-03-26,43.30874,28.92518,11.64383
2025-03-27,43.15068,29.39936,14.2255
2025-03-28,40.25289,27.50263,11.80189
2025-03-29,34.08851,19.33614,10.43203
2025-03-30,36.61749,20.44257,9.69441
2025-03-31,41.72813,30.66385,12.75026
2025-04-01,39.51527,31.45416,11.48577
2025-04-02,38.1981,31.98103,12.38145
2025-04-03,42.14963,26.65964,11.27502
2025-04-04,35.19494,23.39304,11.01159
2025-04-05,32.98208,18.54583,9.79978
2025-04-06,34.08851,20.75869,9.85247
2025-04-07,41.20126,31.66491,11.06427
2025-04-08,41.30663,31.50684,12.5922
2025-04-09,43.73024,32.29715,9.37829
2025-04-10,40.25289,30.13698,11.80189
2025-04-11,39.19915,27.39726,9.85247
2025-04-12,34.45732,18.70389,8.5353
2025-04-13,34.24657,22.70811,9.16754
2025-04-14,36.72286,31.19072,11.22233
2025-04-15,40.83245,28.55637,12.22339
2025-04-16,42.62381,28.50368,11.48577
2025-04-17,40.6217,29.34668,10.27397
2025-04-18,37.19704,25.44783,9.00948
2025-04-19,33.87776,18.59852,9.16754
2025-04-20,31.19072,19.59957,8.95679
2025-04-21,39.93677,28.97787,9.90516
2025-04-22,40.41095,28.39831,11.11696
2025-04-23,39.4099,28.97787,11.01159
2025-04-24,41.25395,26.18545,9.90516
2025-04-25,35.353,27.71338,8.64067
